<javax.crypto.Cipher: Cipher(javax.crypto.CipherSpi,java.security.Provider,java.lang.String)> _SINK_
<javax.crypto.Cipher: Cipher(javax.crypto.CipherSpi,java.lang.String)> _SINK_
<javax.crypto.Cipher: Cipher(javax.crypto.CipherSpi,java.security.Provider.Service,java.util.Iterator,java.lang.String,java.util.List)> _SINK_
<java.security.Certificate: java.lang.String toString(boolean)> _SINK_
<java.security.Certificate: java.lang.String toString(boolean)> _SOURCE_
<java.security.InvalidParameterException: InvalidParameterException(java.lang.String)> _SINK_
<java.security.InvalidAlgorithmParameterException: InvalidAlgorithmParameterException(java.lang.String)> _SINK_
<java.security.InvalidAlgorithmParameterException: InvalidAlgorithmParameterException(java.lang.String,java.lang.Throwable)> _SINK_
<java.security.InvalidAlgorithmParameterException: InvalidAlgorithmParameterException(java.lang.Throwable)> _SINK_
<java.security.Signer: Signer(java.lang.String)> _SINK_
<java.security.Signer: Signer(java.lang.String,java.security.IdentityScope)> _SINK_
<java.security.Signer: java.security.PrivateKey getPrivateKey()> _SOURCE_
<java.security.Signer: void setKeyPair(java.security.KeyPair)> _SINK_
<java.security.Signer: java.lang.String printKeys()> _SOURCE_
<java.security.Signer: java.lang.String toString()> _SOURCE_
<java.security.Signer: void check(java.lang.String)> _SINK_
<java.security.Timestamp: Timestamp(java.util.Date,java.security.cert.CertPath)> _SINK_
<java.security.Timestamp: java.util.Date getTimestamp()> _SOURCE_
<java.security.Timestamp: java.security.cert.CertPath getSignerCertPath()> _SOURCE_
<java.security.Timestamp: int hashCode()> _SOURCE_
<java.security.Timestamp: boolean equals(java.lang.Object)> _SINK_
<java.security.Timestamp: boolean equals(java.lang.Object)> _SOURCE_
<java.security.Timestamp: java.lang.String toString()> _SOURCE_
<java.security.Timestamp: void readObject(java.io.ObjectInputStream)> _SINK_
<java.security.KeyException: KeyException(java.lang.String)> _SINK_
<java.security.KeyException: KeyException(java.lang.String,java.lang.Throwable)> _SINK_
<java.security.KeyException: KeyException(java.lang.Throwable)> _SINK_
<java.security.PrivilegedActionException: PrivilegedActionException(java.lang.Exception)> _SINK_
<java.security.PrivilegedActionException: java.lang.Exception getException()> _SOURCE_
<java.security.PrivilegedActionException: java.lang.Throwable getCause()> _SOURCE_
<java.security.PrivilegedActionException: java.lang.String toString()> _SOURCE_
<java.security.AlgorithmParametersSpi: void engineInit(java.security.spec.AlgorithmParameterSpec)> _SINK_
<java.security.AlgorithmParametersSpi: void engineInit(byte[])> _SINK_
<java.security.AlgorithmParametersSpi: void engineInit(byte[],java.lang.String)> _SINK_
<java.security.AlgorithmParametersSpi: T engineGetParameterSpec(java.lang.Class<T>)> _SINK_
<java.security.AlgorithmParametersSpi: T engineGetParameterSpec(java.lang.Class<T>)> _SOURCE_
<java.security.AlgorithmParametersSpi: byte[] engineGetEncoded()> _SOURCE_
<java.security.AlgorithmParametersSpi: byte[] engineGetEncoded(java.lang.String)> _SINK_
<java.security.AlgorithmParametersSpi: byte[] engineGetEncoded(java.lang.String)> _SOURCE_
<java.security.AlgorithmParametersSpi: java.lang.String engineToString()> _SOURCE_
<java.security.NoSuchProviderException: NoSuchProviderException(java.lang.String)> _SINK_
<java.security.Security: java.io.File securityPropFile(java.lang.String)> _SINK_
<java.security.Security: java.io.File securityPropFile(java.lang.String)> _SOURCE_
<java.security.Security: java.security.Security.ProviderProperty getProviderProperty(java.lang.String)> _SINK_
<java.security.Security: java.security.Security.ProviderProperty getProviderProperty(java.lang.String)> _SOURCE_
<java.security.Security: java.lang.String getProviderProperty(java.lang.String,java.security.Provider)> _SINK_
<java.security.Security: java.lang.String getProviderProperty(java.lang.String,java.security.Provider)> _SOURCE_
<java.security.Security: java.lang.String getAlgorithmProperty(java.lang.String,java.lang.String)> _SINK_
<java.security.Security: java.lang.String getAlgorithmProperty(java.lang.String,java.lang.String)> _SOURCE_
<java.security.Security: int insertProviderAt(java.security.Provider,int)> _SINK_
<java.security.Security: int insertProviderAt(java.security.Provider,int)> _SOURCE_
<java.security.Security: int addProvider(java.security.Provider)> _SINK_
<java.security.Security: int addProvider(java.security.Provider)> _SOURCE_
<java.security.Security: void removeProvider(java.lang.String)> _SINK_
<java.security.Security: java.security.Provider[] getProviders()> _SOURCE_
<java.security.Security: java.security.Provider getProvider(java.lang.String)> _SINK_
<java.security.Security: java.security.Provider getProvider(java.lang.String)> _SOURCE_
<java.security.Security: java.security.Provider[] getProviders(java.lang.String)> _SINK_
<java.security.Security: java.security.Provider[] getProviders(java.lang.String)> _SOURCE_
<java.security.Security: java.security.Provider[] getProviders(java.util.Map<String,String>)> _SINK_
<java.security.Security: java.security.Provider[] getProviders(java.util.Map<String,String>)> _SOURCE_
<java.security.Security: java.lang.Class getSpiClass(java.lang.String)> _SINK_
<java.security.Security: java.lang.Class getSpiClass(java.lang.String)> _SOURCE_
<java.security.Security: java.lang.Object[] getImpl(java.lang.String,java.lang.String,java.lang.String)> _SINK_
<java.security.Security: java.lang.Object[] getImpl(java.lang.String,java.lang.String,java.lang.String)> _SOURCE_
<java.security.Security: java.lang.Object[] getImpl(java.lang.String,java.lang.String,java.lang.String,java.lang.Object)> _SINK_
<java.security.Security: java.lang.Object[] getImpl(java.lang.String,java.lang.String,java.lang.String,java.lang.Object)> _SOURCE_
<java.security.Security: java.lang.Object[] getImpl(java.lang.String,java.lang.String,java.security.Provider)> _SINK_
<java.security.Security: java.lang.Object[] getImpl(java.lang.String,java.lang.String,java.security.Provider)> _SOURCE_
<java.security.Security: java.lang.Object[] getImpl(java.lang.String,java.lang.String,java.security.Provider,java.lang.Object)> _SINK_
<java.security.Security: java.lang.Object[] getImpl(java.lang.String,java.lang.String,java.security.Provider,java.lang.Object)> _SOURCE_
<java.security.Security: java.lang.String getProperty(java.lang.String)> _SINK_
<java.security.Security: java.lang.String getProperty(java.lang.String)> _SOURCE_
<java.security.Security: void setProperty(java.lang.String,java.lang.String)> _SINK_
<java.security.Security: void invalidateSMCache(java.lang.String)> _SINK_
<java.security.Security: void check(java.lang.String)> _SINK_
<java.security.Security: java.util.LinkedHashSet<Provider> getAllQualifyingCandidates(java.lang.String,java.lang.String,java.security.Provider[])> _SINK_
<java.security.Security: java.util.LinkedHashSet<Provider> getAllQualifyingCandidates(java.lang.String,java.lang.String,java.security.Provider[])> _SOURCE_
<java.security.Security: java.util.LinkedHashSet<Provider> getProvidersNotUsingCache(java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.security.Provider[])> _SINK_
<java.security.Security: java.util.LinkedHashSet<Provider> getProvidersNotUsingCache(java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.security.Provider[])> _SOURCE_
<java.security.Security: boolean isCriterionSatisfied(java.security.Provider,java.lang.String,java.lang.String,java.lang.String,java.lang.String)> _SINK_
<java.security.Security: boolean isCriterionSatisfied(java.security.Provider,java.lang.String,java.lang.String,java.lang.String,java.lang.String)> _SOURCE_
<java.security.Security: boolean isStandardAttr(java.lang.String)> _SINK_
<java.security.Security: boolean isStandardAttr(java.lang.String)> _SOURCE_
<java.security.Security: boolean isConstraintSatisfied(java.lang.String,java.lang.String,java.lang.String)> _SINK_
<java.security.Security: boolean isConstraintSatisfied(java.lang.String,java.lang.String,java.lang.String)> _SOURCE_
<java.security.Security: java.lang.String[] getFilterComponents(java.lang.String,java.lang.String)> _SINK_
<java.security.Security: java.lang.String[] getFilterComponents(java.lang.String,java.lang.String)> _SOURCE_
<java.security.Security: java.util.Set<String> getAlgorithms(java.lang.String)> _SINK_
<java.security.Security: java.util.Set<String> getAlgorithms(java.lang.String)> _SOURCE_
<java.security.cert.CertificateFactory: CertificateFactory(java.security.cert.CertificateFactorySpi,java.security.Provider,java.lang.String)> _SINK_
<java.security.cert.CertificateFactory: java.security.cert.CertificateFactory getInstance(java.lang.String)> _SINK_
<java.security.cert.CertificateFactory: java.security.cert.CertificateFactory getInstance(java.lang.String)> _SOURCE_
<java.security.cert.CertificateFactory: java.security.cert.CertificateFactory getInstance(java.lang.String,java.lang.String)> _SINK_
<java.security.cert.CertificateFactory: java.security.cert.CertificateFactory getInstance(java.lang.String,java.lang.String)> _SOURCE_
<java.security.cert.CertificateFactory: java.security.cert.CertificateFactory getInstance(java.lang.String,java.security.Provider)> _SINK_
<java.security.cert.CertificateFactory: java.security.cert.CertificateFactory getInstance(java.lang.String,java.security.Provider)> _SOURCE_
<java.security.cert.CertificateFactory: java.security.Provider getProvider()> _SOURCE_
<java.security.cert.CertificateFactory: java.lang.String getType()> _SOURCE_
<java.security.cert.CertificateFactory: java.security.cert.Certificate generateCertificate(java.io.InputStream)> _SINK_
<java.security.cert.CertificateFactory: java.security.cert.Certificate generateCertificate(java.io.InputStream)> _SOURCE_
<java.security.cert.CertificateFactory: java.util.Iterator<String> getCertPathEncodings()> _SOURCE_
<java.security.cert.CertificateFactory: java.security.cert.CertPath generateCertPath(java.io.InputStream)> _SINK_
<java.security.cert.CertificateFactory: java.security.cert.CertPath generateCertPath(java.io.InputStream)> _SOURCE_
<java.security.cert.CertificateFactory: java.security.cert.CertPath generateCertPath(java.io.InputStream,java.lang.String)> _SINK_
<java.security.cert.CertificateFactory: java.security.cert.CertPath generateCertPath(java.io.InputStream,java.lang.String)> _SOURCE_
<java.security.cert.CertificateFactory: java.security.cert.CertPath generateCertPath(java.util.List<Certificate>)> _SINK_
<java.security.cert.CertificateFactory: java.security.cert.CertPath generateCertPath(java.util.List<Certificate>)> _SOURCE_
<java.security.cert.CertificateFactory: java.util.Collection<Certificate> generateCertificates(java.io.InputStream)> _SINK_
<java.security.cert.CertificateFactory: java.util.Collection<Certificate> generateCertificates(java.io.InputStream)> _SOURCE_
<java.security.cert.CertificateFactory: java.security.cert.CRL generateCRL(java.io.InputStream)> _SINK_
<java.security.cert.CertificateFactory: java.security.cert.CRL generateCRL(java.io.InputStream)> _SOURCE_
<java.security.cert.CertificateFactory: java.util.Collection<CRL> generateCRLs(java.io.InputStream)> _SINK_
<java.security.cert.CertificateFactory: java.util.Collection<CRL> generateCRLs(java.io.InputStream)> _SOURCE_
<java.security.cert.CertificateRevokedException: CertificateRevokedException(java.util.Date,java.security.cert.CRLReason,javax.security.auth.x500.X500Principal,java.util.Map<String,Extension>)> _SINK_
<java.security.cert.CertificateRevokedException: java.util.Date getRevocationDate()> _SOURCE_
<java.security.cert.CertificateRevokedException: java.security.cert.CRLReason getRevocationReason()> _SOURCE_
<java.security.cert.CertificateRevokedException: javax.security.auth.x500.X500Principal getAuthorityName()> _SOURCE_
<java.security.cert.CertificateRevokedException: java.util.Date getInvalidityDate()> _SOURCE_
<java.security.cert.CertificateRevokedException: java.util.Map<String,Extension> getExtensions()> _SOURCE_
<java.security.cert.CertificateRevokedException: java.lang.String getMessage()> _SOURCE_
<java.security.cert.CertificateRevokedException: void writeObject(java.io.ObjectOutputStream)> _SINK_
<java.security.cert.CertificateRevokedException: void readObject(java.io.ObjectInputStream)> _SINK_
<java.security.cert.X509CRLSelector: void setIssuers(java.util.Collection<X500Principal>)> _SINK_
<java.security.cert.X509CRLSelector: void setIssuerNames(java.util.Collection<?>)> _SINK_
<java.security.cert.X509CRLSelector: void addIssuer(javax.security.auth.x500.X500Principal)> _SINK_
<java.security.cert.X509CRLSelector: void addIssuerName(java.lang.String)> _SINK_
<java.security.cert.X509CRLSelector: void addIssuerName(byte[])> _SINK_
<java.security.cert.X509CRLSelector: void addIssuerNameInternal(java.lang.Object,javax.security.auth.x500.X500Principal)> _SINK_
<java.security.cert.X509CRLSelector: java.util.HashSet<Object> cloneAndCheckIssuerNames(java.util.Collection<?>)> _SINK_
<java.security.cert.X509CRLSelector: java.util.HashSet<Object> cloneAndCheckIssuerNames(java.util.Collection<?>)> _SOURCE_
<java.security.cert.X509CRLSelector: java.util.HashSet<Object> cloneIssuerNames(java.util.Collection<Object>)> _SINK_
<java.security.cert.X509CRLSelector: java.util.HashSet<Object> cloneIssuerNames(java.util.Collection<Object>)> _SOURCE_
<java.security.cert.X509CRLSelector: java.util.HashSet<X500Principal> parseIssuerNames(java.util.Collection<Object>)> _SINK_
<java.security.cert.X509CRLSelector: java.util.HashSet<X500Principal> parseIssuerNames(java.util.Collection<Object>)> _SOURCE_
<java.security.cert.X509CRLSelector: void setMinCRLNumber(java.math.BigInteger)> _SINK_
<java.security.cert.X509CRLSelector: void setMaxCRLNumber(java.math.BigInteger)> _SINK_
<java.security.cert.X509CRLSelector: void setDateAndTime(java.util.Date)> _SINK_
<java.security.cert.X509CRLSelector: void setDateAndTime(java.util.Date,long)> _SINK_
<java.security.cert.X509CRLSelector: void setCertificateChecking(java.security.cert.X509Certificate)> _SINK_
<java.security.cert.X509CRLSelector: java.util.Collection<X500Principal> getIssuers()> _SOURCE_
<java.security.cert.X509CRLSelector: java.util.Collection<Object> getIssuerNames()> _SOURCE_
<java.security.cert.X509CRLSelector: java.math.BigInteger getMinCRL()> _SOURCE_
<java.security.cert.X509CRLSelector: java.math.BigInteger getMaxCRL()> _SOURCE_
<java.security.cert.X509CRLSelector: java.util.Date getDateAndTime()> _SOURCE_
<java.security.cert.X509CRLSelector: java.security.cert.X509Certificate getCertificateChecking()> _SOURCE_
<java.security.cert.X509CRLSelector: java.lang.String toString()> _SOURCE_
<java.security.cert.X509CRLSelector: boolean match(java.security.cert.CRL)> _SINK_
<java.security.cert.X509CRLSelector: boolean match(java.security.cert.CRL)> _SOURCE_
<java.security.cert.X509CRLSelector: java.lang.Object clone()> _SOURCE_
<java.security.cert.X509CertSelector: void setCertificate(java.security.cert.X509Certificate)> _SINK_
<java.security.cert.X509CertSelector: void setSerialNumber(java.math.BigInteger)> _SINK_
<java.security.cert.X509CertSelector: void setIssuer(javax.security.auth.x500.X500Principal)> _SINK_
<java.security.cert.X509CertSelector: void setIssuer(java.lang.String)> _SINK_
<java.security.cert.X509CertSelector: void setIssuer(byte[])> _SINK_
<java.security.cert.X509CertSelector: void setSubject(javax.security.auth.x500.X500Principal)> _SINK_
<java.security.cert.X509CertSelector: void setSubject(java.lang.String)> _SINK_
<java.security.cert.X509CertSelector: void setSubject(byte[])> _SINK_
<java.security.cert.X509CertSelector: void setSubjectKeyIdentifier(byte[])> _SINK_
<java.security.cert.X509CertSelector: void setAuthorityKeyIdentifier(byte[])> _SINK_
<java.security.cert.X509CertSelector: void setCertificateValid(java.util.Date)> _SINK_
<java.security.cert.X509CertSelector: void setPrivateKeyValid(java.util.Date)> _SINK_
<java.security.cert.X509CertSelector: void setSubjectPublicKeyAlgID(java.lang.String)> _SINK_
<java.security.cert.X509CertSelector: void setSubjectPublicKey(java.security.PublicKey)> _SINK_
<java.security.cert.X509CertSelector: void setSubjectPublicKey(byte[])> _SINK_
<java.security.cert.X509CertSelector: void setKeyUsage(boolean[])> _SINK_
<java.security.cert.X509CertSelector: void setExtendedKeyUsage(java.util.Set<String>)> _SINK_
<java.security.cert.X509CertSelector: void setMatchAllSubjectAltNames(boolean)> _SINK_
<java.security.cert.X509CertSelector: void setSubjectAlternativeNames(java.util.Collection<List<?>>)> _SINK_
<java.security.cert.X509CertSelector: void addSubjectAlternativeName(int,java.lang.String)> _SINK_
<java.security.cert.X509CertSelector: void addSubjectAlternativeName(int,byte[])> _SINK_
<java.security.cert.X509CertSelector: void addSubjectAlternativeNameInternal(int,java.lang.Object)> _SINK_
<java.security.cert.X509CertSelector: java.util.Set<GeneralNameInterface> parseNames(java.util.Collection<List<?>>)> _SINK_
<java.security.cert.X509CertSelector: java.util.Set<GeneralNameInterface> parseNames(java.util.Collection<List<?>>)> _SOURCE_
<java.security.cert.X509CertSelector: boolean equalNames(java.util.Collection,java.util.Collection)> _SINK_
<java.security.cert.X509CertSelector: boolean equalNames(java.util.Collection,java.util.Collection)> _SOURCE_
<java.security.cert.X509CertSelector: sun.security.x509.GeneralNameInterface makeGeneralNameInterface(int,java.lang.Object)> _SINK_
<java.security.cert.X509CertSelector: sun.security.x509.GeneralNameInterface makeGeneralNameInterface(int,java.lang.Object)> _SOURCE_
<java.security.cert.X509CertSelector: void setNameConstraints(byte[])> _SINK_
<java.security.cert.X509CertSelector: void setBasicConstraints(int)> _SINK_
<java.security.cert.X509CertSelector: void setPolicy(java.util.Set<String>)> _SINK_
<java.security.cert.X509CertSelector: void setPathToNames(java.util.Collection<List<?>>)> _SINK_
<java.security.cert.X509CertSelector: void setPathToNamesInternal(java.util.Set<GeneralNameInterface>)> _SINK_
<java.security.cert.X509CertSelector: void addPathToName(int,java.lang.String)> _SINK_
<java.security.cert.X509CertSelector: void addPathToName(int,byte[])> _SINK_
<java.security.cert.X509CertSelector: void addPathToNameInternal(int,java.lang.Object)> _SINK_
<java.security.cert.X509CertSelector: java.security.cert.X509Certificate getCertificate()> _SOURCE_
<java.security.cert.X509CertSelector: java.math.BigInteger getSerialNumber()> _SOURCE_
<java.security.cert.X509CertSelector: javax.security.auth.x500.X500Principal getIssuer()> _SOURCE_
<java.security.cert.X509CertSelector: java.lang.String getIssuerAsString()> _SOURCE_
<java.security.cert.X509CertSelector: byte[] getIssuerAsBytes()> _SOURCE_
<java.security.cert.X509CertSelector: javax.security.auth.x500.X500Principal getSubject()> _SOURCE_
<java.security.cert.X509CertSelector: java.lang.String getSubjectAsString()> _SOURCE_
<java.security.cert.X509CertSelector: byte[] getSubjectAsBytes()> _SOURCE_
<java.security.cert.X509CertSelector: byte[] getSubjectKeyIdentifier()> _SOURCE_
<java.security.cert.X509CertSelector: byte[] getAuthorityKeyIdentifier()> _SOURCE_
<java.security.cert.X509CertSelector: java.util.Date getCertificateValid()> _SOURCE_
<java.security.cert.X509CertSelector: java.util.Date getPrivateKeyValid()> _SOURCE_
<java.security.cert.X509CertSelector: java.lang.String getSubjectPublicKeyAlgID()> _SOURCE_
<java.security.cert.X509CertSelector: java.security.PublicKey getSubjectPublicKey()> _SOURCE_
<java.security.cert.X509CertSelector: boolean[] getKeyUsage()> _SOURCE_
<java.security.cert.X509CertSelector: java.util.Set<String> getExtendedKeyUsage()> _SOURCE_
<java.security.cert.X509CertSelector: boolean getMatchAllSubjectAltNames()> _SOURCE_
<java.security.cert.X509CertSelector: java.util.Collection<List<?>> getSubjectAlternativeNames()> _SOURCE_
<java.security.cert.X509CertSelector: java.util.Set<List<?>> cloneNames(java.util.Collection<List<?>>)> _SINK_
<java.security.cert.X509CertSelector: java.util.Set<List<?>> cloneNames(java.util.Collection<List<?>>)> _SOURCE_
<java.security.cert.X509CertSelector: java.util.Set<List<?>> cloneAndCheckNames(java.util.Collection<List<?>>)> _SINK_
<java.security.cert.X509CertSelector: java.util.Set<List<?>> cloneAndCheckNames(java.util.Collection<List<?>>)> _SOURCE_
<java.security.cert.X509CertSelector: byte[] getNameConstraints()> _SOURCE_
<java.security.cert.X509CertSelector: int getBasicConstraints()> _SOURCE_
<java.security.cert.X509CertSelector: java.util.Set<String> getPolicy()> _SOURCE_
<java.security.cert.X509CertSelector: java.util.Collection<List<?>> getPathToNames()> _SOURCE_
<java.security.cert.X509CertSelector: java.lang.String toString()> _SOURCE_
<java.security.cert.X509CertSelector: java.lang.String keyUsageToString(boolean[])> _SINK_
<java.security.cert.X509CertSelector: java.lang.String keyUsageToString(boolean[])> _SOURCE_
<java.security.cert.X509CertSelector: java.security.cert.Extension getExtensionObject(java.security.cert.X509Certificate,int)> _SINK_
<java.security.cert.X509CertSelector: java.security.cert.Extension getExtensionObject(java.security.cert.X509Certificate,int)> _SOURCE_
<java.security.cert.X509CertSelector: boolean match(java.security.cert.Certificate)> _SINK_
<java.security.cert.X509CertSelector: boolean match(java.security.cert.Certificate)> _SOURCE_
<java.security.cert.X509CertSelector: boolean matchSubjectKeyID(java.security.cert.X509Certificate)> _SINK_
<java.security.cert.X509CertSelector: boolean matchSubjectKeyID(java.security.cert.X509Certificate)> _SOURCE_
<java.security.cert.X509CertSelector: boolean matchAuthorityKeyID(java.security.cert.X509Certificate)> _SINK_
<java.security.cert.X509CertSelector: boolean matchAuthorityKeyID(java.security.cert.X509Certificate)> _SOURCE_
<java.security.cert.X509CertSelector: boolean matchPrivateKeyValid(java.security.cert.X509Certificate)> _SINK_
<java.security.cert.X509CertSelector: boolean matchPrivateKeyValid(java.security.cert.X509Certificate)> _SOURCE_
<java.security.cert.X509CertSelector: boolean matchSubjectPublicKeyAlgID(java.security.cert.X509Certificate)> _SINK_
<java.security.cert.X509CertSelector: boolean matchSubjectPublicKeyAlgID(java.security.cert.X509Certificate)> _SOURCE_
<java.security.cert.X509CertSelector: boolean matchKeyUsage(java.security.cert.X509Certificate)> _SINK_
<java.security.cert.X509CertSelector: boolean matchKeyUsage(java.security.cert.X509Certificate)> _SOURCE_
<java.security.cert.X509CertSelector: boolean matchExtendedKeyUsage(java.security.cert.X509Certificate)> _SINK_
<java.security.cert.X509CertSelector: boolean matchExtendedKeyUsage(java.security.cert.X509Certificate)> _SOURCE_
<java.security.cert.X509CertSelector: boolean matchSubjectAlternativeNames(java.security.cert.X509Certificate)> _SINK_
<java.security.cert.X509CertSelector: boolean matchSubjectAlternativeNames(java.security.cert.X509Certificate)> _SOURCE_
<java.security.cert.X509CertSelector: boolean matchNameConstraints(java.security.cert.X509Certificate)> _SINK_
<java.security.cert.X509CertSelector: boolean matchNameConstraints(java.security.cert.X509Certificate)> _SOURCE_
<java.security.cert.X509CertSelector: boolean matchPolicy(java.security.cert.X509Certificate)> _SINK_
<java.security.cert.X509CertSelector: boolean matchPolicy(java.security.cert.X509Certificate)> _SOURCE_
<java.security.cert.X509CertSelector: boolean matchPathToNames(java.security.cert.X509Certificate)> _SINK_
<java.security.cert.X509CertSelector: boolean matchPathToNames(java.security.cert.X509Certificate)> _SOURCE_
<java.security.cert.X509CertSelector: boolean matchExcluded(java.util.GeneralSubtrees)> _SINK_
<java.security.cert.X509CertSelector: boolean matchExcluded(java.util.GeneralSubtrees)> _SOURCE_
<java.security.cert.X509CertSelector: boolean matchPermitted(java.util.GeneralSubtrees)> _SINK_
<java.security.cert.X509CertSelector: boolean matchPermitted(java.util.GeneralSubtrees)> _SOURCE_
<java.security.cert.X509CertSelector: boolean matchBasicConstraints(java.security.cert.X509Certificate)> _SINK_
<java.security.cert.X509CertSelector: boolean matchBasicConstraints(java.security.cert.X509Certificate)> _SOURCE_
<java.security.cert.X509CertSelector: java.util.Set<?> cloneSet(java.util.Set<?>)> _SINK_
<java.security.cert.X509CertSelector: java.util.Set<?> cloneSet(java.util.Set<?>)> _SOURCE_
<java.security.cert.X509CertSelector: java.lang.Object clone()> _SOURCE_
<java.security.cert.X509Extension: boolean hasUnsupportedCriticalExtension()> _SOURCE_
<java.security.cert.X509Extension: java.util.Set<String> getCriticalExtensionOIDs()> _SOURCE_
<java.security.cert.X509Extension: java.util.Set<String> getNonCriticalExtensionOIDs()> _SOURCE_
<java.security.cert.X509Extension: byte[] getExtensionValue(java.lang.String)> _SINK_
<java.security.cert.X509Extension: byte[] getExtensionValue(java.lang.String)> _SOURCE_
<java.security.cert.PKIXBuilderParameters: PKIXBuilderParameters(java.util.Set<TrustAnchor>,java.security.cert.CertSelector)> _SINK_
<java.security.cert.PKIXBuilderParameters: PKIXBuilderParameters(java.security.KeyStore,java.security.cert.CertSelector)> _SINK_
<java.security.cert.PKIXBuilderParameters: void setMaxPathLength(int)> _SINK_
<java.security.cert.PKIXBuilderParameters: int getMaxPathLength()> _SOURCE_
<java.security.cert.PKIXBuilderParameters: java.lang.String toString()> _SOURCE_
<java.security.cert.CertificateParsingException: CertificateParsingException(java.lang.String)> _SINK_
<java.security.cert.CertificateParsingException: CertificateParsingException(java.lang.String,java.lang.Throwable)> _SINK_
<java.security.cert.CertificateParsingException: CertificateParsingException(java.lang.Throwable)> _SINK_
<java.security.cert.Certificate: Certificate(java.lang.String)> _SINK_
<java.security.cert.Certificate: java.lang.String getType()> _SOURCE_
<java.security.cert.Certificate: boolean equals(java.lang.Object)> _SINK_
<java.security.cert.Certificate: boolean equals(java.lang.Object)> _SOURCE_
<java.security.cert.Certificate: int hashCode()> _SOURCE_
<java.security.cert.Certificate: byte[] getEncoded()> _SOURCE_
<java.security.cert.Certificate: void verify(java.security.PublicKey)> _SINK_
<java.security.cert.Certificate: void verify(java.security.PublicKey,java.lang.String)> _SINK_
<java.security.cert.Certificate: java.lang.String toString()> _SOURCE_
<java.security.cert.Certificate: java.security.PublicKey getPublicKey()> _SOURCE_
<java.security.cert.CertificateRep: CertificateRep(java.lang.String,byte[])> _SINK_
<java.security.cert.CertificateRep: java.lang.Object readResolve()> _SOURCE_
<java.security.cert.Certificate: java.lang.Object writeReplace()> _SOURCE_
<java.security.cert.LDAPCertStoreParameters: LDAPCertStoreParameters(java.lang.String,int)> _SINK_
<java.security.cert.LDAPCertStoreParameters: LDAPCertStoreParameters(java.lang.String)> _SINK_
<java.security.cert.LDAPCertStoreParameters: java.lang.String getServerName()> _SOURCE_
<java.security.cert.LDAPCertStoreParameters: int getPort()> _SOURCE_
<java.security.cert.LDAPCertStoreParameters: java.lang.Object clone()> _SOURCE_
<java.security.cert.LDAPCertStoreParameters: java.lang.String toString()> _SOURCE_
<java.security.cert.CertificateFactorySpi: java.security.cert.Certificate engineGenerateCertificate(java.io.InputStream)> _SINK_
<java.security.cert.CertificateFactorySpi: java.security.cert.Certificate engineGenerateCertificate(java.io.InputStream)> _SOURCE_
<java.security.cert.CertificateFactorySpi: java.security.cert.CertPath engineGenerateCertPath(java.io.InputStream)> _SINK_
<java.security.cert.CertificateFactorySpi: java.security.cert.CertPath engineGenerateCertPath(java.io.InputStream)> _SOURCE_
<java.security.cert.CertificateFactorySpi: java.security.cert.CertPath engineGenerateCertPath(java.io.InputStream,java.lang.String)> _SINK_
<java.security.cert.CertificateFactorySpi: java.security.cert.CertPath engineGenerateCertPath(java.io.InputStream,java.lang.String)> _SOURCE_
<java.security.cert.CertificateFactorySpi: java.security.cert.CertPath engineGenerateCertPath(java.util.List<Certificate>)> _SINK_
<java.security.cert.CertificateFactorySpi: java.security.cert.CertPath engineGenerateCertPath(java.util.List<Certificate>)> _SOURCE_
<java.security.cert.CertificateFactorySpi: java.util.Iterator<String> engineGetCertPathEncodings()> _SOURCE_
<java.security.cert.CertificateFactorySpi: java.util.Collection<Certificate> engineGenerateCertificates(java.io.InputStream)> _SINK_
<java.security.cert.CertificateFactorySpi: java.util.Collection<Certificate> engineGenerateCertificates(java.io.InputStream)> _SOURCE_
<java.security.cert.CertificateFactorySpi: java.security.cert.CRL engineGenerateCRL(java.io.InputStream)> _SINK_
<java.security.cert.CertificateFactorySpi: java.security.cert.CRL engineGenerateCRL(java.io.InputStream)> _SOURCE_
<java.security.cert.CertificateFactorySpi: java.util.Collection<CRL> engineGenerateCRLs(java.io.InputStream)> _SINK_
<java.security.cert.CertificateFactorySpi: java.util.Collection<CRL> engineGenerateCRLs(java.io.InputStream)> _SOURCE_
<java.security.cert.CertPathBuilderSpi: java.security.cert.CertPathBuilderResult engineBuild(java.security.cert.CertPathParameters)> _SINK_
<java.security.cert.CertPathBuilderSpi: java.security.cert.CertPathBuilderResult engineBuild(java.security.cert.CertPathParameters)> _SOURCE_
<java.security.cert.PolicyNode: java.security.cert.PolicyNode getParent()> _SOURCE_
<java.security.cert.PolicyNode: java.util.Iterator<PolicyNode> getChildren()> _SOURCE_
<java.security.cert.PolicyNode: int getDepth()> _SOURCE_
<java.security.cert.PolicyNode: java.lang.String getValidPolicy()> _SOURCE_
<java.security.cert.PolicyNode: java.util.Set<PolicyQualifierInfo> getPolicyQualifiers()> _SOURCE_
<java.security.cert.PolicyNode: java.util.Set<String> getExpectedPolicies()> _SOURCE_
<java.security.cert.PolicyNode: boolean isCritical()> _SOURCE_
<java.security.cert.CertStoreParameters: java.lang.Object clone()> _SOURCE_
